X,Y,OBJECTID,NAME,NBR,STREETADDR,CITY,ZIP,TYPE,GCSCORE,GCMETHOD,DAFID,POINT_X,POINT_Y
419406.4063,4563002.454,2343,KIMS MARKET,,730 E 28TH ST,OGDEN,84403,Convenience Grocery,100,AddressPoints.AddressGrid,R10325,419406.4063,4563002.454
423681.045,4537344.237,2344,IT`SUGAR,,930 W FORBUSH PL,FARMINGTON,84025,Retail,100,AddressPoints.AddressGrid,R103312,423681.045,4537344.237
467119.4604,4644873.907,2345,LAKEVIEW MARKET,,485 N BEAR LK BLVD,GARDEN CITY,84028,Supermarket,100,Centerlines.StatewideRoads,R103325,467119.4604,4644873.907
373609.2745,4188005.405,2346,FAMILY DOLLAR INC,30687,535 N MAIN ST,PANGUITCH,84759,Convenience Grocery,100,AddressPoints.AddressGrid,R103476,373609.2745,4188005.405
420319.4464,4513791.53,2347,DREAM INN LLC,,1865 W NORTHTEMPLE,SALT LAKE CITY,84116,Convenience Grocery,89.87999725,AddressPoints.AddressGrid,R103577,420319.4464,4513791.53
427510.1829,4508344.97,2348,REAL FOODS MARKET,,2209 S HIGHLAND DR,SALT LAKE CITY,84106,Health Food,100,AddressPoints.AddressGrid,R103677,427510.1829,4508344.97
433274.7661,4475883.725,2349,RIDLEYS FAMILY MARKETS,,5353 W 11000 N,HIGHLAND,84003,Supermarket,100,AddressPoints.AddressGrid,R103778,433274.7661,4475883.725
446763.435,4180529.314,2350,ESCALANTE MERCANTILE &,,210 W MAIN ST,ESCALANTE,84726,Health Food,100,AddressPoints.AddressGrid,R103858,446763.435,4180529.314
426508.0901,4505849.925,2351,NAMASTE NANGLO GROCERIES,,741 E 3300 S,SALT LAKE CITY,84106,Specialty Grocery,100,AddressPoints.AddressGrid,R103860,426508.0901,4505849.925
443941.1512,4455837.15,2352,CVS/PHARMACY,10230,1273 N UNIVERSITY AVE,PROVO,84604,Convenience Grocery,100,AddressPoints.AddressGrid,R103949,443941.1512,4455837.15
413911.94,4557831.476,2353,CVS/PHARMACY,10232,5305 S 1900 W,ROY,84067,Convenience Grocery,100,Centerlines.StatewideRoads,R103950,413911.94,4557831.476
420562.5334,4501846.775,2354,INDIA FOODS,,4852 S REDWOOD RD,TAYLORSVILLE,84118,Convenience Grocery,100,AddressPoints.AddressGrid,R104008,420562.5334,4501846.775
278579.4401,4140683.385,2355,FAMILY DOLLAR INC,30255,780 E MAIN ST,ENTERPRISE,84781,Convenience Grocery,100,Centerlines.StatewideRoads,R104124,278579.4401,4140683.385
298386.9312,4120513.436,2356,FAMILY DOLLAR INC,30829,420 N STATE ST,VERKIN,84745,Convenience Grocery,100,Centerlines.StatewideRoads,R104343,298386.9312,4120513.436
273119.9641,4110545.804,2357,REDSTONE OLIVE OIL,,250 REDCLIFF DR - 33B,ST GEORGE,84790,Health Food,88.47000122,AddressPoints.AddressGrid,R104366,273119.9641,4110545.804
424993.7123,4511418.025,2358,OCEAN CITY SEAFOOD MARKET,,872 S STATE,SALT LAKE CITY,84101,Supermarket,90.91999817,AddressPoints.AddressGrid,R104391,424993.7123,4511418.025
440890.7953,4456124.196,2359,CLIFFORD FAMILY FARM,,1461 N 2100 W,PROVO,84604,Grocery Store,100,AddressPoints.AddressGrid,R104409,440890.7953,4456124.196
426748.2814,4504295.988,2360,DAVES HEALTH & NUTRITION,,880 E 3900 S,SALT LAKE CITY,84107,Health Food,100,AddressPoints.AddressGrid,R104419,426748.2814,4504295.988
432936.8405,4475980.302,2361,MEIERS MEATS & FINE FOODS INC,,5521 W TIMPANOGOS HWY,HIGHLAND,84003,Supermarket,100,Centerlines.StatewideRoads,R104438,432936.8405,4475980.302
428936,4502134,2362,SPROUTS FARMERS MARKET,,1785 E MURRAY RD,HOLLADAY,84117,Grocery Store,,Manually Placed,R104523,428936,4502134
443039.6735,4457166.565,2363,WAL-MART,4100,2255 N UNIVERSITY PKWY,PROVO,84604,Supermarket,100,AddressPoints.AddressGrid,R104594,443039.6735,4457166.565
413391.7916,4499153.557,2364,WALGREENS,15623,5586 W 6200 S,KEARNS,84118,Convenience Grocery,100,Centerlines.StatewideRoads,R104616,413391.7916,4499153.557
424716.3907,4498588.228,2365,EMERGENCY ESSENTIALS,,6274 S STATE ST,MURRAY,84107,Retail,100,AddressPoints.AddressGrid,R104672,424716.3907,4498588.228
414470.9964,4484676.974,2366,CVS/PHARMACY,10308,4968 W 13400 S,HERRIMAN,84096,Convenience Grocery,100,AddressPoints.AddressGrid,R104677,414470.9964,4484676.974
426229.0562,4488591.406,2367,CVS/PHARMACY,10187,11385 S 700 E,SANDY,84070,Convenience Grocery,100,AddressPoints.AddressGrid,R104678,426229.0562,4488591.406
243095.1454,4514573.605,2368,MI PUEBLITO LLC,,401 N ARIA BLVD,WENDOVER,84083,Grocery Store,100,AddressPoints.AddressGrid,R104684,243095.1454,4514573.605
423112.7025,4495966.074,2369,LA PALAPA MARKET,,654 W CTR,MIDVALE,84047,Specialty Grocery,90.91999817,AddressPoints.AddressGrid,R104741,423112.7025,4495966.074
417953.063,4468599.759,2370,RIDLEY`S FAMILY MARKETS,,4045 E PONY EXPRESS PKWY,EAGLE MOUNTAIN,84005,Supermarket,100,AddressPoints.AddressGrid,R104749,417953.063,4468599.759
428797.2266,4503527.39,2371,PARS MARKET,,4233 HIGHLAND DR,SALT LAKE CITY,84124,Specialty Grocery,100,AddressPoints.AddressGrid,R104780,428797.2266,4503527.389
318116.9016,4171276.963,2372,ARABIC AND INDIAN MARKET,,390 S MAIN ST,CEDAR CITY,84720,Convenience Grocery,100,AddressPoints.AddressGrid,R104830,318116.9016,4171276.963
418742.3213,4566309.554,2373,WALGREENS,15290,1208 WASHINGTON BLVD,OGDEN,84404,Convenience Grocery,100,Centerlines.StatewideRoads,R104883,418742.3213,4566309.554
407680.8826,4507180.343,2374,FAMILY DOLLAR INC,30211,2750 S 8400 W,MAGNA,84044,Convenience Grocery,100,AddressPoints.AddressGrid,R104927,407680.8826,4507180.343
457769.4639,4541396.915,2375,GRUMPS GENERAL STORE,,510 W MAIN ST,HENEFER,84033,Convenience Grocery,92.43000031,AddressPoints.AddressGrid,R105031,457769.4639,4541396.915
424997.9307,4507493.897,2376,POWERFUL 99 CENT AND MORE,,2561 S STATE,SALT LAKE CITY,84106,Convenience Grocery,90.91999817,AddressPoints.AddressGrid,R105061,424997.9307,4507493.897
422615.5926,4509532.066,2377,SUPERIOR SMOKE SHOP INC,,1709 S 900 W,SALT LAKE CITY,84104,Convenience Grocery,100,AddressPoints.AddressGrid,R105102,422615.5926,4509532.066
407896.014,4505490.909,2378,WAL-MART,4706,3555 S 8400 W,MAGNA,84044,Supermarket,100,AddressPoints.AddressGrid,R105105,407896.014,4505490.909
316748.9217,4172409.451,2379,ERNIES TOO CEDAR,,1155 W 200 N,CEDAR CITY,84720,Convenience Grocery,100,AddressPoints.AddressGrid,R105125,316748.9217,4172409.451
410189.1393,4505623.648,2380,CHEVRON LA PICO FOOD MART,,7198 W 3500 S,WEST VALLEY CITY,84128,Convenience Grocery,100,Centerlines.StatewideRoads,R105384,410189.1393,4505623.648
459905.9601,4484730.104,2381,RIDLEYS FAMILY MARKETS,,46 W MAIN ST,MIDWAY,84049,Grocery Store,100,Centerlines.StatewideRoads,R105467,459905.9601,4484730.104
414075.6502,4557733.77,2382,HARMONS,91,5370 S 1900 W,ROY,84067,Supermarket,100,AddressPoints.AddressGrid,R10548,414075.6502,4557733.77
420859.7705,4508707.418,2383,JASMINE FOOD AND MORE,,1615 W 2100 S,SALT LAKE CITY,84119,Specialty Grocery,100,AddressPoints.AddressGrid,R105514,420859.7705,4508707.418
416719.5917,4505441.917,2384,HARMONS,1,3955 W 3500 S,WEST VALLEY CITY,84120,Supermarket,100,AddressPoints.AddressGrid,R10559,416719.5917,4505441.917
272640.403,4108745.382,2385,HARMONS,,1189 E 700 S,SAINT GEORGE,84790,Supermarket,100,AddressPoints.AddressGrid,R10567,272640.403,4108745.382
425443.6819,4312384.672,2386,FAMILY DOLLAR INC,31000,22 S STATE ST,SALINA,84654,Convenience Grocery,100,AddressPoints.AddressGrid,R105684,425443.6819,4312384.672
645826.0941,4192964.255,2387,FAMILY DOLLAR INC,30437,50 E CTR ST,MONTICELLO,84535,Convenience Grocery,100,Centerlines.StatewideRoads,R105685,645826.0941,4192964.255
355980.1133,4235383.481,2388,FAST STOP,,1401 S MAIN,BEAVER,84713,Convenience Grocery,90.91999817,Centerlines.StatewideRoads,R105733,355980.1133,4235383.481
427835.8862,4505837.527,2389,HARMONS,,3270 S 1300 E,SALT LAKE CITY,84106,Supermarket,100,Centerlines.StatewideRoads,R10574,427835.8862,4505837.527
424725.1057,4505296.877,2390,ABDI BRO`S MARKET,,3505 S MAIN ST,SALT LAKE CITY,84115,Grocery Store,100,Centerlines.StatewideRoads,R105763,424725.1057,4505296.877
430500.5345,4622540.9,2391,NATURAL GROCERS,,1075 N MAIN STE 110,LOGAN,84321,Health Food,90.91999817,AddressPoints.AddressGrid,R105804,430500.5345,4622540.9
270269.3767,4108297.654,2392,BOOMERS DISCOUNT MARKETS,,855 S BLUFF ST,ST GEORGE,84770,Grocery Store,100,AddressPoints.AddressGrid,R105882,270269.3767,4108297.654
402437.4807,4276771.823,2393,FAMILY DOLLAR INC,30897,120 N MAIN ST,MONROE,84754,Convenience Grocery,100,AddressPoints.AddressGrid,R105893,402437.4807,4276771.823
457419.5734,4500822.908,2394,CHRISTIAN CENTER OF PARK CITY,,1283 DEER VALLEY DR,PARK CITY,84060,Salvage Grocery,100,AddressPoints.AddressGrid,R105983,457419.5734,4500822.908
476230.7079,4495534.196,2395,THEFRONTEIR CAFE & COUNTRY STORE ,,15 W 2200 S,FRANCIS,84036,Convenience Grocery,100,AddressPoints.AddressGrid,R106126,476230.7079,4495534.196
321811.6146,4116606.204,2396,JUNCTION MARKET X,,1593 ZION PARK BLVD,SPRINGDALE,84767,Convenience Grocery,100,AddressPoints.AddressGrid,R106172,321811.6146,4116606.204
435025.9451,4468826.126,2397,WAL-MART,4700,1707 W STATE ST,PLEASANT GROVE,84062,Supermarket,100,AddressPoints.AddressGrid,R106210,435025.9451,4468826.126
426590.864,4497115.978,2398,SPECIALTY MARKET,,842 E FORT UNION BLVD,MIDVALE,84047,Specialty Grocery,100,AddressPoints.AddressGrid,R106431,426590.864,4497115.978
275239.2966,4172511.994,2399,SILVER PEAK SUPPLY,,21 E HWY 56,NEWCASTLE,84756,Convenience Grocery,100,Centerlines.StatewideRoads,R10667,275239.2966,4172511.994
421140.5327,4556780.777,2400,GNC,,5741 HARRISON BLVD SOUTH,OGDEN,84403,Health Food,92.43000031,Centerlines.StatewideRoads,R107141,421140.5327,4556780.777
418334.5846,4505580.845,2401,CVS/PHARMACY,10332,3148 W 3500 S,WEST VALLEY CITY,84119,Convenience Grocery,100,AddressPoints.AddressGrid,R107167,418334.5846,4505580.845
421403.2759,4493379.436,2402,ARS,642 EXXON MOBIL,1285 W 9000 S,WEST JORDAN,84088,Convenience Grocery,100,AddressPoints.AddressGrid,R107187,421403.2759,4493379.436
423192.1839,4510729.598,2403,RESTAURANT DEPOT,,1145 S 700 W,SALT LAKE CITY,84104,Retail,100,AddressPoints.AddressGrid,R107237,423192.1839,4510729.598
420591.5262,4501526.636,2404,MARIAS MARKET 2 INC,,4984 S REDWOOD RD,TAYLORSVILLE,84118,Grocery Store,100,AddressPoints.AddressGrid,R107266,420591.5262,4501526.636
449495.6566,4357645.252,2405,DOLLAR TREE,5692,370 N MAIN ST,EPHRAIM,84627,Convenience Grocery,100,AddressPoints.AddressGrid,R107299,449495.6566,4357645.252
441219.3711,4458132.537,2406,DOLLAR TREE,5603,148 E UNIVERSITY PKWY,OREM,84058,Convenience Grocery,100,AddressPoints.AddressGrid,R107302,441219.3711,4458132.537
420678.435,4501947.919,2407,ARS,640 EXXON MOBIL,4841 S REDWOOD RD,MURRAY,84123,Convenience Grocery,100,AddressPoints.AddressGrid,R107395,420678.435,4501947.919
419870.6949,4502227.196,2408,ARS,636 EXXON MOBIL,2187 W 4700 S,TAYLORSVILLE,84118,Convenience Grocery,100,AddressPoints.AddressGrid,R107396,419870.6949,4502227.196
417450.6418,4502278.249,2409,ARS,641 EXXON MOBIL,3597 W 4700 S,TAYLORSVILLE,84118,Convenience Grocery,100,AddressPoints.AddressGrid,R107397,417450.6418,4502278.249
417362.125,4500670.126,2410,ARS,637 EXXON MOBIL,3621 W 5400 S,KEARNS,84118,Convenience Grocery,100,AddressPoints.AddressGrid,R107399,417362.125,4500670.126
413790.3539,4508745.75,2411,LITTLE POLYNESIA MARKET & FOOD,,5419 W 3500 S - 2,WEST VALLEY CITY,84120,Grocery Store,90.91999817,Centerlines.StatewideRoads,R107401,413790.3539,4508745.75
423063.4884,4500737.81,2412,ARS,634 EXXON MOBIL,690 W 5300 S,MURRAY,84123,Convenience Grocery,100,Centerlines.StatewideRoads,R107402,423063.4884,4500737.81
424366.361,4490119.009,2413,ARS,631 EXXON MOBIL,95 W 10600 S,SANDY,84070,Convenience Grocery,100,AddressPoints.AddressGrid,R107404,424366.361,4490119.009
430545.2662,4623648.606,2414,BIG LOTS,4649,1617 N MAIN ST LOGAN,NORTH LOGAN,84341,Convenience Grocery,90.91999817,AddressPoints.AddressGrid,R107450,430545.2662,4623648.606
417354.3403,4490570.901,2415,COSTCO WHOLESALE,1019,3571 W 10400 S,SOUTH JORDAN,84095,Grocery Store,100,Centerlines.StatewideRoads,R107467,417354.3403,4490570.9
420565.2653,4564763.158,2416,DOLLAR TREE,6518,2020 HARRISON BLVD,OGDEN,84401,Convenience Grocery,100,Centerlines.StatewideRoads,R107477,420565.2653,4564763.158
426500.1058,4492478.815,2417,JENNY CRAIG,503,834 E 9400 S,SANDY,84070,Retail,100,AddressPoints.AddressGrid,R107487,426500.1058,4492478.815
363657.5162,4101326.389,2418,WAVE/KANAB SINCLAIR,,212 W CTR ST,KANAB,84741,Convenience Grocery,100,Centerlines.StatewideRoads,R107559,363657.5162,4101326.389
430514.6027,4620954.934,2419,RITAS OF LOGAN,,25 W 300 N,LOGAN,84321,Specialty Grocery,100,AddressPoints.AddressGrid,R107679,430514.6027,4620954.934
626273.9975,4270800.003,2420,11-Jul,,220 N MAIN ST,MOAB,84532,Convenience Grocery,100,AddressPoints.AddressGrid,R107779,626273.9975,4270800.002
610808.4456,4313694.983,2421,11-Jul,,460 S HIGHWAY 94,THOMPSON,84540,Convenience Grocery,100,Centerlines.StatewideRoads,R107780,610808.4456,4313694.983
645729.6122,4193006.739,2422,11-Jul,,17 N MAIN ST,MONTICELLO,84535,Convenience Grocery,100,Centerlines.StatewideRoads,R107781,645729.6122,4193006.739
634244.2262,4163925.211,2423,11-Jul,,861 S MAIN ST,BLANDING,84511,Convenience Grocery,100,AddressPoints.AddressGrid,R107782,634244.2262,4163925.21
618934.2826,4124868.434,2424,11-Jul,,3956 S HWY 163,MEXICAN HAT,84531,Convenience Grocery,96.66999817,Centerlines.StatewideRoads,R107783,618934.2826,4124868.434
424802.0535,4505614.293,2425,CHINA TOWN SUPERMARKET,,3390 S STATE ST - 11,SALT LAKE CITY,84115,Grocery Store,90.91999817,AddressPoints.AddressGrid,R107867,424802.0535,4505614.293
426643.963,4500404.555,2426,BIG LOTS,4657,5516 S 900 E,MURRAY,84117,Convenience Grocery,100,AddressPoints.AddressGrid,R107901,426643.963,4500404.555
388683.6443,4225660.711,2427,STANS,,85 E MAIN ST,CIRCLEVILLE,84723,Retail,100,AddressPoints.AddressGrid,R107950,388683.6443,4225660.711
440778.604,4453965.057,2428,FAMILY DOLLAR INC,31017,2118 W CTR ST,PROVO,84601,Convenience Grocery,100,AddressPoints.AddressGrid,R108004,440778.604,4453965.057
415697.7225,4549511.683,2429,ASIAN FOODS LLC,,1475 S STATE ST,CLEARFIELD,84015,Specialty Grocery,100,AddressPoints.AddressGrid,R108053,415697.7225,4549511.683
419030.746,4572818.734,2430,SMITHS MARKETPLACE,279,2434 N 400 E,NORTH OGDEN,84414,Supermarket,100,AddressPoints.AddressGrid,R108154,419030.746,4572818.734
413151.1099,4495924.587,2431,SMITHS MARKETPLACE,274,5710 W 7800 S,WEST JORDAN,84081,Supermarket,100,Centerlines.StatewideRoads,R108155,413151.1099,4495924.587
425356.6269,4503021.857,2432,UTAH CHARITIES DBA UTAH COOP,,291 E 4500 S,MURRAY,84107,Grocery Store,100,AddressPoints.AddressGrid,R108291,425356.6269,4503021.857
427006.3416,4513313.716,2433,TESORO,,75 S 900 E,SALT LAKE CITY,84102,Convenience Grocery,100,AddressPoints.AddressGrid,R108399,427006.3416,4513313.716
418358.7325,4563731.437,2434,QUEEN BEE GIFTERY,,270 25TH ST,OGDEN,84401,Retail,100,AddressPoints.AddressGrid,R108422,418358.7325,4563731.437
421721.8556,4514739.187,2435,ISLES OF THE SEA MART,,1269 W 500 N,SALT LAKE CITY,84116,Specialty Grocery,100,AddressPoints.AddressGrid,R108441,421721.8556,4514739.187
445218.02,4441360.526,2436,GOOD EARTH NATURAL FOODS,,863 N 700 E,SPANISH FORK,84660,Grocery Store,100,Centerlines.StatewideRoads,R108660,445218.02,4441360.526
421554.8042,4486238.186,2437,WALMART MARKET,7043,1202 W 12600 S,RIVERTON,84065,Supermarket,100,AddressPoints.AddressGrid,R108661,421554.8042,4486238.186
414310.0846,4484731.743,2438,WAL-MART,7168,5056 W 13400 S,HERRIMAN,84096,Supermarket,100,AddressPoints.AddressGrid,R108751,414310.0846,4484731.743
585346.49,4460514.945,2439,RC GROUP DBA YUMMYS SUSHI,,245 W HWY 40,ROOSEVELT,84066,Specialty Grocery,100,Centerlines.StatewideRoads,R108757,585346.49,4460514.945
423316.1464,4513728.379,2440,CITY CORNER,,631 W N TEMPLE STE 500,SALT LAKE CITY,84116,Convenience Grocery,90.91999817,AddressPoints.AddressGrid,R108770,423316.1464,4513728.379
319024.7347,4181742.424,2441,FAMILY DOLLAR INC,31320,425 E MIDVALLEY RD,ENOCH,84721,Convenience Grocery,100,AddressPoints.AddressGrid,R108784,319024.7347,4181742.424
423799.6126,4537316.469,2442,GNC,6104,166 N CENTRAL AVE,FARMINGTON,84025,Health Food,100,AddressPoints.AddressGrid,R108831,423799.6126,4537316.469
416580.3705,4488313.068,2443,SPROUTS FARMERS MARKET,605,11519 S 4000 W,SOUTH JORDAN,84095,Grocery Store,100,AddressPoints.AddressGrid,R108881,416580.3705,4488313.068
339228.8949,4190960.492,2444,FAMILY DOLLAR INC,31290,590 N MAIN ST,PAROWAN,84761,Convenience Grocery,100,AddressPoints.AddressGrid,R108884,339228.8949,4190960.492
430293.9721,4497141.985,2445,DOLLAR TREE,5822,2332 E FORT UNION BLVD STE A,COTTONWOOD HEIGHTS,84121,Convenience Grocery,100,AddressPoints.AddressGrid,R108960,430293.9721,4497141.984
452926.0165,4503689.178,2446,HYATT ESCALA LODGE,,3551 N ESCALA CT,PARK CITY,84098,Convenience Grocery,100,AddressPoints.AddressGrid,R109168,452926.0165,4503689.178
424292.1631,4487203.26,2447,LOVELAND LIVING PLANET GIFT,,12033 S LONE PEAK PKWY,DRAPER,84020,Convenience Grocery,100,AddressPoints.AddressGrid,R109248,424292.1631,4487203.259
445534.5161,4441720.009,2448,WAL-MART,4068,1206 N CANYON CRK PKWY,SPANISH FORK,84660,Supermarket,100,AddressPoints.AddressGrid,R109251,445534.5161,4441720.009
427713.4458,4495415.308,2449,HOLLADAY HEALTH & NUTRITION,,7990 S 1300 E,SANDY,84094,Health Food,100,AddressPoints.AddressGrid,R109299,427713.4458,4495415.308
416508.6369,4487626.826,2450,PETERSEN FAMILY FARM,,11887 S 4000 W,RIVERTON,84096,Grocery Store,100,AddressPoints.AddressGrid,R109333,416508.6369,4487626.826
413525.7615,4505665.506,2451,99 CENTS PLUS,,3451 S 5600 W STE D,WEST VALLEY CITY,84120,Convenience Grocery,100,AddressPoints.AddressGrid,R109373,413525.7615,4505665.506
511683.9742,4393742.57,2452,MUSE GROCERY DBA PICK & RAIL,,101 W 200 N,HELPER,84526,Grocery Store,100,AddressPoints.AddressGrid,R109376,511683.9742,4393742.57
427760.6765,4497323.007,2453,TRADER JOES,351,6989 S 1300 E,MIDVALE,84047,Grocery Store,100,AddressPoints.AddressGrid,R109568,427760.6765,4497323.007
425592.2657,4505886.478,2454,ARBAT LLC,,3232 S 400 E,SALT LAKE CITY,84115,Specialty Grocery,100,AddressPoints.AddressGrid,R109768,425592.2657,4505886.478
627405.9975,4268550.001,2455,SHOPKO HOMETOWN,555,1145 US 191,MOAB,84532,Convenience Grocery,92.43000031,AddressPoints.AddressGrid,R110072,627405.9975,4268550.001
420722.951,4506924.489,2456,NEW EUROPEAN MARKET,,2851 S REDWOOD RD STE G,WEST VALLEY CITY,84119,Specialty Grocery,100,AddressPoints.AddressGrid,R110080,420722.951,4506924.489
415317.0103,4508791.193,2457,RANCHO MARKET,,4616 S 4000 W STE I & J,WEST VALLEY CITY,84120,Grocery Store,83.34999847,Centerlines.StatewideRoads,R110081,415317.0103,4508791.193
430533.2066,4618612.076,2458,LOGAN HOTELS LLC,,853 S MAIN ST,LOGAN,84321,Convenience Grocery,100,Centerlines.StatewideRoads,R110504,430533.2066,4618612.076
503035.0191,4353306.418,2459,FAMILY DOLLAR INC,31456,151 N MAIN ST,HUNTINGTON,84528,Convenience Grocery,100,Centerlines.StatewideRoads,R110883,503035.0191,4353306.418
443919.4744,4250478.235,2460,FAMILY DOLLAR INC,31452,75 S MAIN ST,LOA,84747,Convenience Grocery,100,AddressPoints.AddressGrid,R110940,443919.4744,4250478.235
430626.7106,4624987.586,2461,ANAYAS MARKET LOGAN,,2271 N MAIN ST,NORTH LOGAN,84341,Specialty Grocery,100,AddressPoints.AddressGrid,R110942,430626.7106,4624987.586
324227.1392,4251180.794,2462,FAMILY DOLLAR INC,31455,50 W 700 S,MILFORD,84751,Convenience Grocery,100,Centerlines.StatewideRoads,R111077,324227.1392,4251180.794
426851.7435,4500790.887,2463,QUANTUM NATURE CARE,,921 E EXECUTIVE PARK DR STE C,SALT LAKE CITY,84117,Health Food,100,AddressPoints.AddressGrid,R111219,426851.7435,4500790.887
420471.4201,4497271.286,2464,TIKI MARKET,,7098 S REDWOOD RD,WEST JORDAN,84084,Specialty Grocery,100,AddressPoints.AddressGrid,R111267,420471.4201,4497271.286
421710.0427,4514737.969,2465,VALLEY RENTAL & SALES,,1271 W 500 N,SALT LAKE CITY,84116,Convenience Grocery,100,AddressPoints.AddressGrid,R111505,421710.0427,4514737.969
425050.7024,4509995.443,2466,SONJHAE ASIAN MARKET,,1465 S STATE ST,SALT LAKE CITY,84115,Specialty Grocery,100,AddressPoints.AddressGrid,R111580,425050.7024,4509995.443
335978.4226,4189505.583,2467,KB EXPRESS,8,1661 W 200 S,PAROWAN,84761,Convenience Grocery,100,AddressPoints.AddressGrid,R111583,335978.4226,4189505.583
416464.2803,4488415.74,2468,CVS/PHARMACY,10578,11502 S 4000 W,SOUTH JORDAN,84095,Convenience Grocery,100,Centerlines.StatewideRoads,R111765,416464.2803,4488415.74
433341.8494,4476010.071,2469,CVS/PHARMACY,10618,5326 W 11000 N,HIGHLAND,84003,Convenience Grocery,100,Centerlines.StatewideRoads,R111766,433341.8494,4476010.071
415161.4358,4505516.797,2470,IAC LATIN MARKET,,4735 W 3500 S STE C,WEST VALLEY CITY,84120,Convenience Grocery,100,AddressPoints.AddressGrid,R111990,415161.4358,4505516.797
426505.0412,4511890.187,2471,ORIENTAL FOOD MARKET OF UTAH,,667 S 700 E,SALT LAKE CITY,84102,Specialty Grocery,100,AddressPoints.AddressGrid,R112035,426505.0412,4511890.187
